index,BS_LogicalFile(RFT_041LUP)_60B,DMV_LogicalFile(RFT_036LTP)_2B,DMV_LogicalFile(RFT_044LTP)_2B
2046.8843994140625,12.25,,
2047.036865234375,12.25,,
2047.189208984375,12.25,,
2047.341552734375,12.25,,
2047.4940185546875,12.25,,
2047.6463623046875,12.25,,
2047.798828125,12.25,,
2047.951171875,12.25,,
2048.103515625,12.25,,
2048.256103515625,12.25,,
2048.408447265625,12.25,,
2048.560791015625,12.25,,
2048.713134765625,12.25,,
2048.86572265625,12.25,,
2049.01806640625,12.25,,
2049.17041015625,12.25,,
2049.32275390625,12.25,,
2049.47509765625,12.25,,
2049.627685546875,12.25,,
2049.780029296875,12.25,,
2049.932373046875,12.25,,
2050.084716796875,12.25,,
2050.2373046875,12.25,,
2050.3896484375,12.25,,
2050.5419921875,12.25,,
2050.6943359375,12.25,,
2050.846923828125,12.25,,
2050.999267578125,12.25,,
2051.151611328125,12.25,,
2051.303955078125,12.25,,
2051.456298828125,12.25,,
2051.60888671875,12.25,,
2051.76123046875,12.25,,
2051.91357421875,12.25,,
2052.06591796875,12.25,,
2052.218505859375,12.25,,
2052.370849609375,12.25,,
2052.523193359375,12.25,,
2052.675537109375,12.25,,
2052.828125,12.25,,
2052.98046875,12.25,,
2053.1328125,12.25,,
2053.28515625,12.25,,
2053.4375,12.25,,
2053.590087890625,12.25,,
2053.742431640625,12.25,,
2053.894775390625,12.25,,
2054.047119140625,12.25,,
2054.19970703125,12.25,,
2054.35205078125,12.25,,
2054.50439453125,12.25,,
2054.65673828125,12.25,,
2054.809326171875,12.25,,
2054.961669921875,12.25,,
2055.114013671875,12.25,,
2055.266357421875,12.25,,
2055.418701171875,12.25,,
2055.5712890625,12.25,,
2055.7236328125,12.25,,
2055.8759765625,12.25,,
2056.0283203125,12.25,,
2056.180908203125,12.25,,
2056.333251953125,12.25,,
2056.485595703125,12.25,,
2056.637939453125,12.25,,
2056.79052734375,12.25,,
2056.94287109375,12.25,,
2057.09521484375,12.25,,
2057.24755859375,12.25,,
2057.39990234375,12.25,,
2057.552490234375,12.25,,
2057.704833984375,12.25,,
2057.857177734375,12.25,,
2058.009521484375,12.25,,
2058.034912109375,,,0.0
2058.162109375,12.25,,
2058.314453125,12.25,,
2058.466796875,12.25,,
2058.619140625,12.25,,
2058.771728515625,12.25,,
2058.924072265625,12.25,,
2059.076416015625,12.25,,
2059.228759765625,12.25,,
2059.381103515625,12.25,,
2059.53369140625,12.25,,
2059.68603515625,12.25,,
2059.83837890625,12.25,,
2059.99072265625,12.25,,
2060.143310546875,12.25,,
2060.295654296875,12.25,,
2060.447998046875,12.25,,
2060.600341796875,12.25,,
2060.7529296875,12.25,,
2060.9052734375,12.25,,
2061.0576171875,12.25,,
2061.2099609375,12.25,,
2061.3623046875,12.25,,
2061.514892578125,12.25,,
2061.667236328125,12.25,,
2061.819580078125,12.25,,
2061.971923828125,12.25,,
2062.12451171875,12.25,,
2062.27685546875,12.25,,
2062.42919921875,12.25,,
2062.58154296875,12.25,,
2062.734130859375,12.25,,
2062.886474609375,12.25,,
2063.038818359375,12.25,,
2063.191162109375,12.25,,
2063.343505859375,12.25,,
2063.49609375,12.25,,
2063.6484375,12.25,,
2063.80078125,12.25,,
2063.953125,12.25,,
2064.105712890625,12.25,,
2064.258056640625,12.25,,
2064.410400390625,12.25,,
2064.562744140625,12.25,,
2064.71533203125,12.25,,
2064.86767578125,12.25,,
2065.02001953125,12.25,,
2065.17236328125,12.25,,
2065.32470703125,12.25,,
2065.477294921875,12.25,,
2065.629638671875,12.25,,
2065.781982421875,12.25,,
